,Name,Type,#,DOB,Age,Height,Weight,Gm,SOO,Recruited from,team,short_team
31,Jordan Roughead,Def-Tall-Key,23,"3 Nov, 1990",29 y 115 d,200 cm,101 kg,159,VIC,North Ballarat Rebels,collingwoodmagpies,Collingwood
32,Trey Ruscoe,Def-Tall-Key,39,"3 Nov, 2001",18 y 115 d,190 cm,90 kg,,WA,East Fremantle,collingwoodmagpies,Collingwood
33,Matthew Scharenberg,Def-Tall-Gen,12,"18 Sep, 1995",24 y 161 d,191 cm,93 kg,38,SA,Glenelg,collingwoodmagpies,Collingwood
34,Steele Sidebottom,Mid-Med,22,"2 Jan, 1991",29 y 55 d,184 cm,85 kg,231,VIC,Murray Bushrangers,collingwoodmagpies,Collingwood
35,Brayden Sier,Mid-Tall,36,"12 Dec, 1997",22 y 76 d,191 cm,88 kg,18,VIC,Northern Knights,collingwoodmagpies,Collingwood
36,Jaidyn Stephenson,Mid-Med,1,"15 Jan, 1999",21 y 42 d,188 cm,78 kg,38,VIC,Eastern Ranges,collingwoodmagpies,Collingwood
37,Josh Thomas,Mid-Smal,24,"1 Oct, 1991",28 y 148 d,178 cm,78 kg,87,QLD,Gold Coast,collingwoodmagpies,Collingwood
38,Adam Treloar,Mid-Med,7,"9 Mar, 1993",26 y 354 d,182 cm,89 kg,161,VIC,Noble Park,collingwoodmagpies,Collingwood
39,Travis Varcoe,Fwd-Med-Gen,18,"10 Apr, 1988",31 y 322 d,180 cm,84 kg,220,SA,Central District,collingwoodmagpies,Collingwood
40,Rupert Wills,Mid-Tall,33,"20 May, 1993",26 y 282 d,192 cm,88 kg,13,VIC,Collingwood VFL,collingwoodmagpies,Collingwood
41, Mark Keane,Fwd-Tall-Key,47,"17 Mar, 2000",19 y 346 d,194 cm,92 kg,,N/A,County Cork,collingwoodmagpies,Collingwood
42, Max Lynch,Ruck-Tall,45,"12 Sep, 1998",21 y 167 d,200 cm,99 kg,,VIC,Murray Bushrangers,collingwoodmagpies,Collingwood
43, Jack Madgen,Def-Tall-Key,44,"25 Apr, 1993",26 y 307 d,192 cm,98 kg,8,SA,Barossa District,collingwoodmagpies,Collingwood
44, Anton Tohill,Util-Tall,43,"14 Dec, 1999",20 y 74 d,191 cm,85 kg,,N/A,County Derry,collingwoodmagpies,Collingwood
45, Thomas Wilson,Util-Tall,48,"24 Jun, 1997",22 y 247 d,187 cm,68 kg,,VIC,Sydney Kings,collingwoodmagpies,Collingwood
0,Patrick Ambrose,Def-Tall-Key,29,"1 Sep, 1991",28 y 178 d,191 cm,92 kg,86,VIC,Old Xaverians,essendonbombers,Essendon
1,Josh Begley,Fwd-Med-Gen,16,"3 Jul, 1998",21 y 238 d,188 cm,97 kg,16,VIC,Eastern Ranges,essendonbombers,Essendon
2,Tom Bellchambers,Ruck-Tall,2,"9 Jul, 1989",30 y 232 d,202 cm,108 kg,128,TAS,Tassie Mariners,essendonbombers,Essendon
3,Nick Bryan,Ruck-Tall,24,"22 Oct, 2001",18 y 127 d,202 cm,87 kg,,VIC,Oakleigh Chargers,essendonbombers,Essendon
4,Ned Cahill,Fwd-Smal-Gen,28,"11 Jan, 2001",19 y 46 d,178 cm,77 kg,,VIC,Dandenong Stingrays,essendonbombers,Essendon
5,Dylan Clarke,Mid-Med,37,"6 Sep, 1998",21 y 173 d,187 cm,87 kg,12,VIC,Eastern Ranges,essendonbombers,Essendon
6,Tom Cutler,Util-Tall,12,"20 Feb, 1995",25 y 6 d,192 cm,92 kg,66,VIC,Oakleigh Chargers,essendonbombers,Essendon
7,Joe Daniher,Fwd-Tall-Key,6,"4 Mar, 1994",25 y 359 d,200 cm,99 kg,104,VIC,Calder Cannons,essendonbombers,Essendon
8,Orazio Fantasia,Fwd-Smal-Gen,13,"14 Sep, 1995",24 y 165 d,178 cm,77 kg,74,SA,Norwood,essendonbombers,Essendon
9,Aaron Francis,Util-Tall,10,"10 Aug, 1997",22 y 200 d,192 cm,90 kg,26,SA,West Adelaide,essendonbombers,Essendon
10,Martin Gleeson,Def-Med-Gen,8,"25 Aug, 1994",25 y 185 d,191 cm,86 kg,78,VIC,North Ballarat Rebels,essendonbombers,Essendon
11,Noah Gown,Fwd-Tall-Key,32,"1 Feb, 2000",20 y 25 d,194 cm,91 kg,,VIC,Gippsland Power,essendonbombers,Essendon
12,Matt Guelfi,Mid-Med,35,"14 Aug, 1997",22 y 196 d,184 cm,85 kg,32,WA,Claremont,essendonbombers,Essendon
13,Brayden Ham,Mid-Med,33,"25 Apr, 1999",20 y 307 d,181 cm,70 kg,4,VIC,Geelong Falcons,essendonbombers,Essendon
14,Dyson Heppell,Mid-Med,21,"14 May, 1992",27 y 288 d,189 cm,84 kg,168,VIC,Gippsland Power,essendonbombers,Essendon
15,Cale Hooker,Util-Tall,26,"13 Oct, 1988",31 y 136 d,198 cm,103 kg,192,WA,East Fremantle,essendonbombers,Essendon
16,Michael Hurley,Def-Tall-Key,18,"1 Jun, 1990",29 y 270 d,192 cm,94 kg,178,VIC,Northern Knights,essendonbombers,Essendon
17,Lachlan Johnson,Fwd-Smal-Gen,36,"7 Aug, 2001",18 y 203 d,175 cm,79 kg,,VIC,Oakleigh Chargers,essendonbombers,Essendon
18,Harrison Jones,Fwd-Tall-Key,23,"25 Feb, 2001",19 y 1 d,194 cm,75 kg,,VIC,Calder Cannons,essendonbombers,Essendon
19,Kyle Langford,Fwd-Tall-Gen,4,"1 Dec, 1996",23 y 87 d,191 cm,87 kg,64,VIC,Northern Knights,essendonbombers,Essendon
20,Jayden Laverde,Fwd-Med-Gen,15,"12 Apr, 1996",23 y 320 d,191 cm,91 kg,39,VIC,Western Jets,essendonbombers,Essendon
21,Anthony McDonald-Tipungwuti,Fwd-Smal-Gen,43,"22 Apr, 1993",26 y 310 d,171 cm,77 kg,88,NT,Gippsland Power,essendonbombers,Essendon
22,Andrew McGrath,Mid-Smal,1,"2 Jun, 1998",21 y 269 d,178 cm,83 kg,63,VIC,Sandringham Dragons,essendonbombers,Essendon
23,Conor McKenna,Def-Med-Gen,45,"28 Mar, 1996",23 y 335 d,184 cm,88 kg,72,N/A,County Tyrone,essendonbombers,Essendon
24,Shaun McKernan,Util-Tall,44,"1 Sep, 1990",29 y 178 d,196 cm,100 kg,77,VIC,Calder Cannons,essendonbombers,Essendon
25,Zach Merrett,Mid-Smal,7,"3 Oct, 1995",24 y 146 d,180 cm,83 kg,125,VIC,Sandringham Dragons,essendonbombers,Essendon
26,Irving Mosquito,Fwd-Smal-Gen,22,"24 Aug, 2000",19 y 186 d,176 cm,72 kg,,WA,Gippsland Power,essendonbombers,Essendon
27,Kobe Mutch,Mid-Med,19,"18 Mar, 1998",21 y 345 d,187 cm,88 kg,4,VIC,Bendigo Pioneers,essendonbombers,Essendon
28,Darcy Parish,Mid-Med,3,"25 Jul, 1997",22 y 216 d,181 cm,77 kg,75,VIC,Geelong Falcons,essendonbombers,Essendon
29,Andrew Phillips,Ruck-Tall,34,"3 Jul, 1991",28 y 238 d,201 cm,98 kg,41,TAS,Clarence,essendonbombers,Essendon
30,Mason Redman,Fwd-Med-Gen,27,"26 Aug, 1997",22 y 184 d,187 cm,87 kg,24,SA,Glenelg,essendonbombers,Essendon
31,Jordan Ridley,Def-Tall-Gen,14,"20 Oct, 1998",21 y 129 d,192 cm,91 kg,9,VIC,Oakleigh Chargers,essendonbombers,Essendon
32,Adam Saad,Def-Smal-Gen,42,"23 Jul, 1994",25 y 218 d,178 cm,78 kg,91,VIC,Coburg,essendonbombers,Essendon
33,Dylan Shiel,Mid-Med,9,"9 Mar, 1993",26 y 354 d,182 cm,83 kg,155,NSW,Edithvale-Aspinvale,essendonbombers,Essendon
34,Devon Smith,Mid-Smal,5,"20 May, 1993",26 y 282 d,174 cm,77 kg,137,VIC,Geelong Falcons,essendonbombers,Essendon
35,James Stewart,Fwd-Tall-Key,17,"4 Mar, 1994",25 y 359 d,199 cm,96 kg,45,VIC,Sandringham Dragons,essendonbombers,Essendon
36,Jake Stringer,Fwd-Tall-Key,25,"25 Apr, 1994",25 y 307 d,192 cm,95 kg,126,VIC,Bendigo Pioneers,essendonbombers,Essendon
37,David Zaharakis,Mid-Med,11,"21 Feb, 1990",30 y 5 d,180 cm,79 kg,207,VIC,Northern Knights,essendonbombers,Essendon
38,Brandon Zerk-Thatcher,Def-Tall-Key,30,"25 Aug, 1998",21 y 185 d,195 cm,86 kg,1,SA,Sturt,essendonbombers,Essendon
39, Sam Draper,Ruck-Tall,38,"28 Sep, 1998",21 y 151 d,203 cm,107 kg,,SA,South Adelaide,essendonbombers,Essendon
40, Mitchell Hibberd,Util-Med,46,"23 Sep, 1996",23 y 156 d,191 cm,90 kg,4,TAS,Clarence,essendonbombers,Essendon
41, Cian McBride,Def-Tall-Key,41,"19 Apr, 2001",18 y 313 d,195 cm,84 kg,,N/A,County Meath (Ireland),essendonbombers,Essendon
42, Ross McQuillan,Mid-Med,39,"18 Jan, 1999",21 y 39 d,186 cm,79 kg,,N/A,County Armagh (Ireland),essendonbombers,Essendon
43, Will Snelling,Mid-Smal,40,"6 Aug, 1997",22 y 204 d,175 cm,70 kg,4,SA,West Adelaide,essendonbombers,Essendon
44,  Jacob Townsend,Mid-Med,20,"20 Jun, 1993",26 y 251 d,187 cm,88 kg,48,NSW,Leeton,essendonbombers,Essendon
0,Blake Acres,Mid-Med,9,"7 Oct, 1995",24 y 142 d,191 cm,90 kg,75,WA,West Perth ,fremantledockers,Fremantle
1,James Aish,Mid-Med,11,"8 Nov, 1995",24 y 110 d,183 cm,80 kg,81,SA,Norwood,fremantledockers,Fremantle
2,Bailey Banfield,Mid-Med,41,"26 Feb, 1998",22 y 0 d,190 cm,92 kg,27,WA,Claremont,fremantledockers,Fremantle
3,Brett Bewley,Mid-Med,34,"14 Apr, 1995",24 y 318 d,185 cm,87 kg,7,VIC,Williamstown,fremantledockers,Fremantle
4,Connor Blakely,Mid-Med,19,"2 Mar, 1996",23 y 361 d,188 cm,90 kg,60,WA,Swan Districts,fremantledockers,Fremantle
5,Andrew Brayshaw,Mid-Med,8,"8 Nov, 1999",20 y 110 d,184 cm,84 kg,39,VIC,Sandringham Dragons,fremantledockers,Fremantle
6,Adam Cerra,Mid-Med,5,"7 Oct, 1999",20 y 142 d,188 cm,84 kg,41,VIC,Eastern Ranges,fremantledockers,Fremantle
7,Travis Colyer,Mid-Smal,33,"24 Aug, 1991",28 y 186 d,175 cm,77 kg,97,WA,Claremont,fremantledockers,Fremantle
8,Reece Conca,Mid-Med,6,"12 Aug, 1992",27 y 198 d,181 cm,84 kg,126,WA,Perth,fremantledockers,Fremantle
9,Brennan Cox,Fwd-Tall-Key,36,"13 Aug, 1998",21 y 197 d,195 cm,99 kg,34,SA,Woodville-West Torrens,fremantledockers,Fremantle
10,Mitch Crowden,Mid-Smal,12,"28 Apr, 1999",20 y 304 d,176 cm,84 kg,14,SA,Sturt,fremantledockers,Fremantle
11,Sean Darcy,Ruck-Tall,4,"12 Jun, 1998",21 y 259 d,202 cm,113 kg,26,VIC,Geelong Falcons,fremantledockers,Fremantle
12,Taylin Duman,Def-Tall-Gen,44,"18 Apr, 1998",21 y 314 d,193 cm,83 kg,24,VIC,Oakleigh Chargers,fremantledockers,Fremantle
13,Minario Frederick,Mid-Med,43,"17 May, 2000",19 y 285 d,179 cm,64 kg,,SA,Woodville-West Torrens,fremantledockers,Fremantle
14,Nat Fyfe,Mid-Med,7,"18 Sep, 1991",28 y 161 d,192 cm,96 kg,172,WA,Claremont,fremantledockers,Fremantle
15, Stefan Giro,Mid-Med,42,"10 Mar, 1999",20 y 353 d,175 cm,77 kg,10,SA,Norwood,fremantledockers,Fremantle
16,Joel Hamling,Def-Tall-Key,21,"9 Apr, 1993",26 y 323 d,194 cm,92 kg,84,WA,Claremont,fremantledockers,Fremantle
17,Liam Henry,Fwd-Smal-Gen,31,"28 Aug, 2001",18 y 182 d,179 cm,67 kg,,WA,Claremont,fremantledockers,Fremantle
18,Stephen Hill,Mid-Med,32,"1 May, 1990",29 y 301 d,183 cm,82 kg,205,WA,West Perth,fremantledockers,Fremantle
19,Jesse Hogan,Fwd-Tall-Key,1,"12 Feb, 1995",25 y 14 d,195 cm,99 kg,83,WA,Claremont,fremantledockers,Fremantle
20, Ethan Hughes,Def-Med-Gen,15,"7 Dec, 1994",25 y 81 d,188 cm,89 kg,50,WA,Swan Districts,fremantledockers,Fremantle
21,Rory Lobb,Fwd-Tall-Key,37,"9 Feb, 1993",27 y 17 d,206 cm,106 kg,88,WA,Swan Districts,fremantledockers,Fremantle
22,Griffin Logue,Def-Tall-Key,2,"13 Apr, 1998",21 y 319 d,193 cm,101 kg,23,WA,Swan Districts,fremantledockers,Fremantle
23,Brandon Matera,Fwd-Smal-Gen,3,"11 Mar, 1992",27 y 352 d,175 cm,76 kg,139,WA,South Fremantle,fremantledockers,Fremantle
24,Cameron McCarthy,Fwd-Tall-Key,23,"1 Apr, 1995",24 y 331 d,192 cm,92 kg,69,WA,South Fremantle,fremantledockers,Fremantle
25,Lloyd Meek,Ruck-Tall,30,"22 Apr, 1998",21 y 310 d,203 cm,111 kg,,VIC,GWV Rebels,fremantledockers,Fremantle
26,David Mundy,Mid-Tall,16,"20 Jul, 1985",34 y 221 d,193 cm,94 kg,315,VIC,Murray Bushrangers,fremantledockers,Fremantle
27,Alex Pearce,Def-Tall-Key,25,"9 Jun, 1995",24 y 262 d,201 cm,101 kg,53,TAS,Devonport,fremantledockers,Fremantle
28,Luke Ryan,Def-Med-Gen,13,"6 Feb, 1996",24 y 20 d,187 cm,92 kg,49,VIC,Coburg,fremantledockers,Fremantle
29,Lachlan Schulz,Fwd-Med-Gen,28,"30 Nov, 1997",22 y 88 d,178 cm,78 kg,7,VIC,Williamstown,fremantledockers,Fremantle
30,Caleb Serong,Util-Med,22,"9 Feb, 2001",19 y 17 d,178 cm,83 kg,,VIC,Gippsland Power,fremantledockers,Fremantle
31,Sam Sturt,Fwd-Med-Gen,27,"12 May, 2000",19 y 290 d,189 cm,72 kg,,VIC,Dandenong Stingrays,fremantledockers,Fremantle
32,Samuel Switkowski,Fwd-Smal-Gen,39,"20 Nov, 1996",23 y 98 d,179 cm,74 kg,20,VIC,Box Hill Hawks,fremantledockers,Fremantle
33,Matt Taberner,Fwd-Tall-Key,20,"17 Jun, 1993",26 y 254 d,198 cm,99 kg,71,VIC,Murray Bushrangers,fremantledockers,Fremantle
34,Darcy Tucker,Def-Med-Gen,18,"23 Jan, 1997",23 y 34 d,184 cm,83 kg,70,VIC,North Ballarat,fremantledockers,Fremantle
35,Luke Valente,Util-Med,29,"8 May, 2000",19 y 294 d,187 cm,81 kg,,SA,Norwood,fremantledockers,Fremantle
36,Michael Walters,Fwd-Smal-Gen,10,"7 Jan, 1991",29 y 50 d,178 cm,78 kg,150,WA,Swan Districts,fremantledockers,Fremantle
37,Nathan Wilson,Def-Med-Gen,14,"7 Jan, 1993",27 y 50 d,185 cm,81 kg,115,WA,Mandurah,fremantledockers,Fremantle
38,Hayden Young,Def-Med-Gen,26,"11 Apr, 2001",18 y 321 d,188 cm,82 kg,,VIC,Dandenong Stingrays,fremantledockers,Fremantle
39, Isaiah Butters,Fwd-Med-Gen,38,"16 Sep, 2001",18 y 163 d,182 cm,69 kg,,WA,Claremont,fremantledockers,Fremantle
40, Jason Carter,Def-Med-Gen,35,"11 Jan, 2000",20 y 46 d,185 cm,76 kg,2,WA,Dockers Academy,fremantledockers,Fremantle
41, Tom North,Mid-Med,24,"14 Feb, 1999",21 y 12 d,183 cm,84 kg,,VIC,Eastern Ranges,fremantledockers,Fremantle
42, Dillon O'Reilly,Fwd-Tall-Key,46,"2 Jun, 2000",19 y 269 d,193 cm,79 kg,,WA,East Fremantle,fremantledockers,Fremantle
43, Jarvis Pina,Def-Smal-Gen,47,"30 Oct, 2000",19 y 119 d,176 cm,71 kg,,WA,Peel Thunder,fremantledockers,Fremantle
44, Leno Thomas,Util-Med,48,"12 May, 2001",18 y 290 d,183 cm,73 kg,,WA,Claremont,fremantledockers,Fremantle
45, Tobe Watson,Def-Med-Gen,45,"3 Dec, 1997",22 y 85 d,190 cm,83 kg,,WA,Swan Districts,fremantledockers,Fremantle
0,Ben Ainsworth,Fwd-Smal-Gen,9,"10 Feb, 1998",22 y 16 d,178 cm,77 kg,41,VIC,Gippsland Power,goldcoastsuns,Gold Coast
1,Noah Anderson,Util-Med,15,"17 Feb, 2001",19 y 9 d,188 cm,86 kg,,VIC,Oakleigh Chargers,goldcoastsuns,Gold Coast
2,Charlie Ballard,Util-Tall,10,"23 Jul, 1999",20 y 218 d,195 cm,91 kg,32,SA,Sturt,goldcoastsuns,Gold Coast
3,Jack Bowes,Mid-Med,3,"26 Jan, 1998",22 y 31 d,187 cm,85 kg,42,QLD,Gold Coast,goldcoastsuns,Gold Coast
4,Will Brodie,Mid-Med,7,"23 Aug, 1998",21 y 187 d,189 cm,89 kg,19,VIC,Murray Bushrangers,goldcoastsuns,Gold Coast
5,Chris Burgess,Util-Tall,29,"26 Nov, 1995",24 y 92 d,191 cm,82 kg,14,SA,West Adelaide,goldcoastsuns,Gold Coast
6,Samuel Collins,Def-Tall-Key,25,"15 Jun, 1994",25 y 256 d,194 cm,98 kg,23,VIC,Dandenong Stingrays,goldcoastsuns,Gold Coast
7,Josh Corbett,Fwd-Tall-Key,19,"23 Apr, 1996",23 y 309 d,190 cm,90 kg,9,VIC,Werribee Tigers,goldcoastsuns,Gold Coast
8, Jacob Dawson,Mid-Med,45,"3 Nov, 1999",20 y 115 d,182 cm,82 kg,9,QLD,Palm Beach Currumbin,goldcoastsuns,Gold Coast
9,Sam Day,Fwd-Tall-Key,12,"6 Sep, 1992",27 y 173 d,197 cm,104 kg,120,SA,Sturt,goldcoastsuns,Gold Coast
10,Brandon Ellis,Mid-Med,4,"3 Aug, 1993",26 y 207 d,181 cm,82 kg,173,VIC,Calder Cannons,goldcoastsuns,Gold Coast
11,Corey Ellis,Def-Med-Gen,17,"9 Oct, 1996",23 y 140 d,184 cm,81 kg,31,VIC,Western Jets,goldcoastsuns,Gold Coast
12,Jy Farrar,Mid-Tall,50,"7 Dec, 1996",23 y 81 d,190 cm,78 kg,,VIC,Scotch College,goldcoastsuns,Gold Coast
13,Brayden Fiorini,Mid-Med,8,"22 Aug, 1997",22 y 188 d,186 cm,82 kg,47,VIC,Northern Knights,goldcoastsuns,Gold Coast
14,Sam Flanders,Fwd-Med-Gen,26,"24 Jul, 2001",18 y 217 d,182 cm,81 kg,,VIC,Gippsland Power,goldcoastsuns,Gold Coast
15,Caleb Graham,Def-Tall-Key,46,"12 Sep, 2000",19 y 167 d,195 cm,92 kg,3,QLD,Gold Coast Academy,goldcoastsuns,Gold Coast
16,Hugh Greenwood,Mid-Tall,21,"6 Mar, 1992",27 y 357 d,191 cm,92 kg,51,TAS,Perth Wildcats,goldcoastsuns,Gold Coast
17,Pearce Hanley,Mid-Med,1,"15 Nov, 1988",31 y 103 d,185 cm,86 kg,161,N/A,County Mayo Ireland,goldcoastsuns,Gold Coast
18,Jarrod Harbrow,Def-Smal-Gen,5,"18 Jul, 1988",31 y 223 d,178 cm,73 kg,245,VIC,Murray Bushrangers,goldcoastsuns,Gold Coast
19,Jacob Heron,Def-Med-Gen,40,"10 Dec, 1999",20 y 78 d,180 cm,79 kg,13,QLD,Cairns Saints,goldcoastsuns,Gold Coast
20, Nick Holman,Mid-Med,39,"29 May, 1995",24 y 273 d,189 cm,87 kg,43,VIC,Murray Bushrangers,goldcoastsuns,Gold Coast
21,Jack Hombsch,Def-Tall-Key,20,"7 Mar, 1993",26 y 356 d,194 cm,89 kg,116,SA,Sturt,goldcoastsuns,Gold Coast
22,George Horlin-Smith,Mid-Med,33,"22 Dec, 1992",27 y 66 d,188 cm,84 kg,58,SA,Sturt,goldcoastsuns,Gold Coast
23,Jesse Joyce,Def-Med-Gen,38,"17 Aug, 1997",22 y 193 d,191 cm,84 kg,63,QLD,Palm Beach Currumbin,goldcoastsuns,Gold Coast
24,Ben King,Fwd-Tall-Key,34,"7 Jul, 2000",19 y 234 d,202 cm,87 kg,14,VIC,Sandringham Dragons,goldcoastsuns,Gold Coast
25,Sean Lemmens,Def-Med-Gen,23,"2 Nov, 1994",25 y 116 d,184 cm,84 kg,87,SA,Port Adelaide,goldcoastsuns,Gold Coast
26,Jack Lukosius,Fwd-Tall-Gen,13,"9 Aug, 2000",19 y 201 d,195 cm,83 kg,21,SA,Woodville-West Torrens,goldcoastsuns,Gold Coast
27,Darcy MacPherson,Mid-Smal,44,"29 Oct, 1997",22 y 120 d,174 cm,78 kg,39,VIC,Footscray VFL,goldcoastsuns,Gold Coast
28,Jez McLennan,Def-Med-Gen,43,"7 Sep, 2000",19 y 172 d,185 cm,82 kg,,SA,Central District,goldcoastsuns,Gold Coast
29,Anthony Miles,Mid-Med,2,"28 Feb, 1992",27 y 363 d,180 cm,81 kg,88,NSW,Murray Bushrangers,goldcoastsuns,Gold Coast
30,Touk Miller,Util-Smal,11,"22 Feb, 1996",24 y 4 d,178 cm,83 kg,100,VIC,Calder Cannons,goldcoastsuns,Gold Coast
31,Jordan Murdoch,Util-Tall,31,"23 Mar, 1992",27 y 340 d,190 cm,87 kg,122,SA,Glenelg,goldcoastsuns,Gold Coast
32,Wil Powell,Mid-Med,27,"26 Aug, 1999",20 y 184 d,185 cm,76 kg,20,WA,Claremont,goldcoastsuns,Gold Coast
33,Izak Rankine,Util-Med,22,"23 Apr, 2000",19 y 309 d,179 cm,76 kg,,SA,West Adelaide,goldcoastsuns,Gold Coast
34,Matthew Rowell,Mid-Smal,18,"1 Jul, 2001",18 y 240 d,178 cm,74 kg,,VIC,Oakleigh Chargers,goldcoastsuns,Gold Coast
35,Alex Sexton,Util-Med,6,"3 Dec, 1993",26 y 85 d,186 cm,83 kg,119,QLD,Redland,goldcoastsuns,Gold Coast
36,Jeremy Sharp,Mid-Med,37,"13 Aug, 2001",18 y 197 d,187 cm,73 kg,,WA,East Fremantle,goldcoastsuns,Gold Coast
37,Zac Smith,Ruck-Tall,32,"22 Feb, 1990",30 y 4 d,206 cm,105 kg,114,QLD,Biloela,goldcoastsuns,Gold Coast
38,David Swallow,Mid-Med,24,"19 Nov, 1992",27 y 99 d,185 cm,87 kg,139,WA,East Fremantle,goldcoastsuns,Gold Coast
39,Rory Thompson,Def-Tall-Key,16,"12 Mar, 1991",28 y 351 d,200 cm,100 kg,104,QLD,Southport,goldcoastsuns,Gold Coast
40,Lachlan Weller,Util-Med,14,"23 Feb, 1996",24 y 3 d,181 cm,81 kg,86,QLD,Broadbeach,goldcoastsuns,Gold Coast
41,Jarrod Witts,Ruck-Tall,28,"13 Sep, 1992",27 y 166 d,209 cm,111 kg,102,NSW,Sydney University,goldcoastsuns,Gold Coast
42,Peter Wright,Fwd-Tall-Key,30,"8 Sep, 1996",23 y 171 d,203 cm,103 kg,66,VIC,Calder Cannons,goldcoastsuns,Gold Coast
43, Connor Budarick,Util-Smal,35,"6 Apr, 2001",18 y 326 d,176 cm,76 kg,,QLD,Gold Coast Academy,goldcoastsuns,Gold Coast
44, Matthew Conroy,Ruck-Tall,48,"7 Nov, 2000",19 y 111 d,198 cm,85 kg,,QLD,Gold Coast Academy,goldcoastsuns,Gold Coast
45, Sam Fletcher,Mid-Med,47,"27 Jan, 2000",20 y 30 d,188 cm,77 kg,,QLD,Gold Coast Academy,goldcoastsuns,Gold Coast
46, Patrick Murtagh,Fwd-Tall-Key,42,"11 Feb, 2000",20 y 15 d,196 cm,94 kg,,QLD,Gold Coast Academy,goldcoastsuns,Gold Coast
47, Mitchell Riordan,Mid-Med,49,"25 Jan, 2000",20 y 32 d,187 cm,83 kg,,VIC,Dandenong Stingrays,goldcoastsuns,Gold Coast
48, Malcolm Rosas,Fwd-Smal-Gen,41,"27 Jun, 2001",18 y 244 d,175 cm,62 kg,,NT,NT Thunder,goldcoastsuns,Gold Coast
49, Joshua Schoenfeld,Mid-Med,36,"3 Jul, 1997",22 y 238 d,186 cm,84 kg,15,WA,Peel Thunder,goldcoastsuns,Gold Coast
50, Luke Towey,Def-Med-Gen,52,"11 Jul, 1999",20 y 230 d,186 cm,80 kg,,N/A,County Sligo (Ireland),goldcoastsuns,Gold Coast
0,Gary Ablett jnr,Mid-Med,4,"14 May, 1984",35 y 288 d,182 cm,87 kg,342,VIC,Geelong Falcons ,geelongcats,Geelong
1, Tom Atkins,Mid-Med,30,"18 Sep, 1995",24 y 161 d,180 cm,86 kg,20,VIC,Geelong VFL,geelongcats,Geelong
2,Jed Bews,Def-Med-Gen,24,"14 Dec, 1993",26 y 74 d,186 cm,88 kg,79,VIC,Geelong U18,geelongcats,Geelong
3,Mark Blicavs,Mid-Tall,46,"28 Mar, 1991",28 y 335 d,198 cm,100 kg,153,VIC,AIS,geelongcats,Geelong
4,Jordan Clark,Def-Med-Gen,6,"16 Oct, 2000",19 y 133 d,185 cm,78 kg,18,WA,Claremont,geelongcats,Geelong
5,Nakia Cockatoo,Fwd-Med-Gen,5,"23 Oct, 1996",23 y 126 d,186 cm,90 kg,34,NT,NT Thunder,geelongcats,Geelong
