,player_id,trade_status,user_team_id,waiver_until,feed_id,first_name,last_name,team
47,108,free_agent,,,261299,Matthew,Kreuzer,CAR
53,116,free_agent,,,297907,Nic,Newman,CAR
59,471,free_agent,,,297899,James,Harmes,MEL
63,430,free_agent,,,291201,Ricky,Henderson,HAW
73,59,free_agent,,,293479,Cameron,Ellis-Yolmen,BRL
74,653,free_agent,,,294429,Luke,Dunstan,STK
76,439,free_agent,,,261323,Ben,McEvoy,HAW
80,548,free_agent,,,280944,Jack,Ziebell,NTH
85,802,free_agent,,,281373,Jack,Redden,WCE
87,256,free_agent,,,240052,David,Mundy,FRE
92,319,free_agent,,,290832,David,Swallow,GCS
94,699,free_agent,,,294036,George,Hewett,SYD
95,289,free_agent,,,993799,Brayden,Fiorini,GCS
101,251,free_agent,,,990740,Rory,Lobb,FRE
103,454,free_agent,,,280737,Liam,Shiels,HAW
107,363,free_agent,,,280317,Rhys,Stanley,GEE
117,184,free_agent,,,261320,Tom,Bellchambers,ESS
118,22,free_agent,,,270938,Tom,Lynch,ADE
119,783,free_agent,,,290838,Jack,Darling,WCE
123,657,free_agent,,,295584,Bradley,Hill,STK
124,678,free_agent,,,280858,Shane,Savage,STK
127,306,free_agent,,,290671,Anthony,Miles,GCS
129,767,free_agent,,,291545,Mitch,Wallis,WBD
130,763,free_agent,,,270732,Matthew,Suckling,WBD
133,456,free_agent,,,294877,Isaac,Smith,HAW
134,166,free_agent,,,996487,Tom,Phillips,COL
137,677,free_agent,,,250267,Paddy,Ryder,STK
138,406,free_agent,,,240700,Heath,Shaw,GWS
139,740,free_agent,,,1004592,Tim,English,WBD
141,751,waiver,182.0,2020-07-04 04:00:00,290799,Tom,Liberatore,WBD
147,401,free_agent,,,280762,Shane,Mumford,GWS
148,526,free_agent,,,290194,Jamie,Macmillan,NTH
150,138,free_agent,,,271001,Dayne,Beams,COL
151,351,free_agent,,,294199,Sam,Menegola,GEE
156,671,free_agent,,,294596,Tim,Membrey,STK
157,175,free_agent,,,1002240,Jaidyn,Stephenson,COL
158,689,free_agent,,,291978,Harry,Cunningham,SYD
160,278,free_agent,,,998129,Will,Brodie,GCS
162,635,free_agent,,,1002583,Sydney,Stack,RIC
165,208,free_agent,,,997846,Conor,McKenna,ESS
166,426,free_agent,,,291351,Jack,Gunston,HAW
169,509,free_agent,,,291867,Ben,Brown,NTH
171,153,free_agent,,,291313,Jeremy,Howe,COL
172,382,free_agent,,,280804,Phil,Davis,GWS
174,428,free_agent,,,993794,Blake,Hardwick,HAW
175,225,free_agent,,,270951,David,Zaharakis,ESS
177,266,free_agent,,,293854,Matt,Taberner,FRE
178,716,free_agent,,,290188,Sam,Reid,SYD
179,788,free_agent,,,294266,Tom,Hickey,WCE
181,777,free_agent,,,990290,Tom,Barrass,WCE
183,683,free_agent,,,294469,Aliir,Aliir,SYD
185,679,free_agent,,,994389,Jack,Sinclair,STK
186,294,free_agent,,,270512,Pearce,Hanley,GCS
187,295,free_agent,,,240254,Jarrod,Harbrow,GCS
188,753,free_agent,,,290073,Sam,Lloyd,WBD
189,613,free_agent,,,990827,Jack,Graham,RIC
190,550,free_agent,,,297354,Karl,Amon,PTA
191,416,free_agent,,,280744,Luke,Breust,HAW
192,575,free_agent,,,292145,Tom,Jonas,PTA
193,417,free_agent,,,210012,Shaun,Burgoyne,HAW
195,656,free_agent,,,290117,Dan,Hannebery,STK
199,468,free_agent,,,1001438,Bayley,Fritsch,MEL
200,391,free_agent,,,993107,Harry,Himmelberg,GWS
201,782,free_agent,,,290826,Jamie,Cripps,WCE
202,749,free_agent,,,290797,Alex,Keath,WBD
205,739,free_agent,,,290085,Taylor,Duryea,WBD
207,634,free_agent,,,998529,Ivan,Soldo,RIC
209,1,free_agent,,,294472,Rory,Atkins,ADE
210,206,free_agent,,,294092,Anthony,McDonald-Tipungwuti,ESS
211,383,free_agent,,,271015,Matt,de Boer,GWS
212,601,free_agent,,,290623,Josh,Caddy,RIC
214,160,free_agent,,,280416,Chris,Mayne,COL
215,19,free_agent,,,297473,Jake,Kelly,ADE
216,162,waiver,9806.0,2020-07-04 04:00:00,298288,Darcy,Moore,COL
217,156,free_agent,,,295444,Tom,Langdon,COL
218,625,free_agent,,,298174,Toby,Nankervis,RIC
219,597,free_agent,,,1000223,Liam,Baker,RIC
220,507,free_agent,,,290787,Shaun,Atley,NTH
222,586,free_agent,,,993979,Sam,Powell-Pepper,PTA
223,215,free_agent,,,294068,Andrew,Phillips,ESS
224,240,free_agent,,,998145,Sean,Darcy,FRE
225,28,free_agent,,,990882,Wayne,Milera,ADE
226,432,free_agent,,,296254,Jarman,Impey,HAW
228,556,free_agent,,,992128,Ryan,Burton,PTA
229,560,free_agent,,,294504,Tom,Clurey,PTA
230,564,free_agent,,,1006096,Xavier,Duursma,PTA
231,577,free_agent,,,293987,Jarrod,Lienert,PTA
232,203,waiver,9806.0,2020-07-04 04:00:00,298630,Kyle,Langford,ESS
233,431,free_agent,,,992462,Daniel,Howe,HAW
234,614,free_agent,,,280819,Dylan,Grimes,RIC
237,477,free_agent,,,250222,Nathan,Jones,MEL
239,721,free_agent,,,294737,Callum,Sinclair,SYD
240,694,free_agent,,,240399,Lance,Franklin,SYD
241,88,free_agent,,,998128,Alex,Witherden,BRL
242,125,free_agent,,,294624,Lachie,Plowman,CAR
243,34,free_agent,,,294733,Paul,Seedsman,ADE
244,563,free_agent,,,1000972,Willem,Drew,PTA
245,333,free_agent,,,1002242,Charlie,Constable,GEE
246,499,free_agent,,,291819,Adam,Tomlinson,MEL
247,641,free_agent,,,998134,Josh,Battle,STK
248,161,free_agent,,,291849,Brody,Mihocek,COL
249,445,free_agent,,,296041,Tim,O'Brien,HAW
251,735,free_agent,,,996708,Bailey,Dale,WBD
252,193,free_agent,,,297438,Martin,Gleeson,ESS
253,486,free_agent,,,291533,Tom,McDonald,MEL
254,696,free_agent,,,290722,Sam,Gray,SYD
255,117,free_agent,,,291773,Jack,Newnes,CAR
257,223,free_agent,,,293884,Jake,Stringer,ESS
259,369,free_agent,,,261497,Harry,Taylor,GEE
260,482,free_agent,,,298281,Jake,Lever,MEL
261,484,free_agent,,,281085,Steven,May,MEL
262,682,free_agent,,,296422,Callum,Wilkie,STK
264,473,free_agent,,,996692,Marty,Hore,MEL
267,792,free_agent,,,281281,Lewis,Jetta,WCE
268,152,free_agent,,,291720,Will,Hoskin-Elliott,COL
269,149,free_agent,,,293801,Jamie,Elliott,COL
270,756,free_agent,,,996483,Toby,McLean,WBD
271,216,free_agent,,,997078,Mason,Redman,ESS
272,599,free_agent,,,993993,Shai,Bolton,RIC
273,40,free_agent,,,280934,Daniel,Talia,ADE
274,419,free_agent,,,1000959,James,Cousins,HAW
275,659,free_agent,,,993480,Dougal,Howard,STK
276,404,free_agent,,,261374,Sam J.,Reid,GWS
277,554,free_agent,,,994599,Riley,Bonner,PTA
278,12,free_agent,,,250417,Bryce,Gibbs,ADE
279,803,free_agent,,,296225,Willie,Rioli,WCE
280,630,free_agent,,,250395,Jack,Riewoldt,RIC
282,96,free_agent,,,996731,Charlie,Curnow,CAR
283,237,free_agent,,,290823,Reece,Conca,FRE
284,272,free_agent,,,294125,Nathan,Wilson,FRE
285,347,free_agent,,,294828,Josh,Jenkins,GEE
286,142,free_agent,,,1002770,Callum L.,Brown,COL
287,520,free_agent,,,296735,Aaron,Hall,NTH
288,285,free_agent,,,291753,Sam,Day,GCS
289,2,free_agent,,,293193,Luke,Brown,ADE
290,324,free_agent,,,298289,Peter,Wright,GCS
292,55,free_agent,,,280918,Allen,Christensen,BRL
293,757,free_agent,,,1002404,Aaron,Naughton,WBD
294,437,free_agent,,,1000887,Mitch,Lewis,HAW
295,41,free_agent,,,280506,Taylor,Walker,ADE
296,352,free_agent,,,1004938,Gryan,Miers,GEE
297,297,free_agent,,,297456,Nick,Holman,GCS
298,204,free_agent,,,298280,Jayden,Laverde,ESS
299,250,free_agent,,,996580,Ethan,Hughes,FRE
301,596,free_agent,,,290198,David,Astbury,RIC
302,61,free_agent,,,296269,Darcy,Gardiner,BRL
304,23,free_agent,,,250362,David,Mackay,ADE
305,95,free_agent,,,993795,David,Cuningham,CAR
306,602,free_agent,,,991933,Jason,Castagna,RIC
307,465,free_agent,,,290622,Mitch,Brown,MEL
308,487,free_agent,,,280824,Jake,Melksham,MEL
309,105,free_agent,,,281078,Liam,Jones,CAR
310,615,free_agent,,,1002227,Jack,Higgins,RIC
311,730,free_agent,,,291492,Josh,Bruce,WBD
312,776,free_agent,,,1004385,Oscar,Allen,WCE
313,71,free_agent,,,293581,Lincoln,McCarthy,BRL
314,453,free_agent,,,280969,Tom,Scully,HAW
315,546,free_agent,,,295340,Mason,Wood,NTH
317,150,free_agent,,,270861,Levi,Greenwood,COL
318,666,free_agent,,,992000,Jack,Lonie,STK
319,765,free_agent,,,280013,Jackson,Trengove,WBD
320,549,free_agent,,,998484,Cameron,Zurhaar,NTH
321,398,free_agent,,,291509,Adam,Kennedy,GWS
322,228,free_agent,,,295067,James,Aish,FRE
323,265,free_agent,,,992059,Sam,Switkowski,FRE
324,784,free_agent,,,298268,Liam,Duggan,WCE
325,192,free_agent,,,990816,Aaron,Francis,ESS
326,170,free_agent,,,280012,Jordan,Roughead,COL
327,187,free_agent,,,998109,Dylan,Clarke,ESS
329,452,free_agent,,,998114,Jack,Scrimshaw,HAW
330,472,free_agent,,,290160,Michael,Hibberd,MEL
332,524,free_agent,,,290802,Ben,Jacobs,NTH
333,395,free_agent,,,270811,Sam,Jacobs,GWS
334,111,free_agent,,,298302,Caleb,Marchbank,CAR
335,422,free_agent,,,293738,Sam,Frost,HAW
336,381,free_agent,,,1002251,Brent,Daniels,GWS
337,449,free_agent,,,260710,Paul,Puopolo,HAW
338,354,free_agent,,,1007102,Mark,O'Connor,GEE
339,681,free_agent,,,290757,Jimmy,Webster,STK
340,662,free_agent,,,294570,Dean,Kent,STK
341,543,free_agent,,,291550,Josh,Walker,NTH
342,20,free_agent,,,295103,Riley,Knight,ADE
343,622,free_agent,,,294592,Kamdyn,McIntosh,RIC
344,253,free_agent,,,290817,Brandon,Matera,FRE
345,246,free_agent,,,295222,Joel,Hamling,FRE
346,514,free_agent,,,1002267,Luke,Davies-Uniacke,NTH
347,252,free_agent,,,997933,Griffin,Logue,FRE
348,539,free_agent,,,1005729,Tarryn,Thomas,NTH
349,515,free_agent,,,290199,Majak,Daw,NTH
351,176,free_agent,,,290289,Josh,Thomas,COL
352,583,free_agent,,,280990,Steven,Motlop,PTA
353,712,free_agent,,,997842,Colin,O'Riordan,SYD
354,180,free_agent,,,1001448,Rupert,Wills,COL
355,505,free_agent,,,298271,Paul,Ahern,NTH
356,518,free_agent,,,296078,Taylor,Garner,NTH
358,91,free_agent,,,240060,Eddie,Betts,CAR
359,447,free_agent,,,291821,Jonathon,Patton,HAW
360,48,free_agent,,,1005053,Noah,Answerth,BRL
361,242,free_agent,,,998115,Taylin,Duman,FRE
363,795,free_agent,,,240406,Josh J.,Kennedy,WCE
364,114,free_agent,,,1000953,Harry,McKay,CAR
366,805,free_agent,,,1004364,Liam,Ryan,WCE
367,488,free_agent,,,296420,Alex,Neal-Bullen,MEL
368,503,free_agent,,,294675,Josh,Wagner,MEL
369,330,free_agent,,,1006152,Jordan,Clark,GEE
370,737,free_agent,,,295712,Tory,Dickson,WBD
371,65,free_agent,,,291548,Ryan,Lester,BRL
372,128,free_agent,,,998215,Will,Setterfield,CAR
373,493,free_agent,,,992644,Braydon,Preuss,MEL
374,540,free_agent,,,992499,Kayne,Turner,NTH
375,726,free_agent,,,294663,Jackson,Thurlow,SYD
377,525,free_agent,,,1001017,Nick,Larkey,NTH
378,359,free_agent,,,291357,Gary,Rohan,GEE
379,557,free_agent,,,1006121,Zak,Butters,PTA
380,400,free_agent,,,290675,Daniel,Lloyd,GWS
381,648,free_agent,,,290641,Jake,Carlisle,STK
382,281,free_agent,,,295446,Sam,Collins,GCS
383,249,free_agent,,,296324,Jesse,Hogan,FRE
384,326,free_agent,,,994386,Tom,Atkins,GEE
385,528,free_agent,,,296355,Luke,McDonald,NTH
386,300,free_agent,,,996064,Jesse,Joyce,GCS
387,576,free_agent,,,997142,Peter,Ladhams,PTA
388,276,free_agent,,,1008882,Charlie,Ballard,GCS
389,70,free_agent,,,993828,Rhys,Mathieson,BRL
390,130,free_agent,,,1001028,Jack,Silvagni,CAR
392,221,free_agent,,,990606,William,Snelling,ESS
393,631,free_agent,,,1000981,Daniel,Rioli,RIC
394,102,free_agent,,,296200,Michael,Gibbons,CAR
395,640,free_agent,,,298091,Logan,Austin,STK
396,308,free_agent,,,295942,Jordan,Murdoch,GCS
397,179,free_agent,,,250290,Travis,Varcoe,COL
398,504,free_agent,,,993806,Sam,Weideman,MEL
399,358,free_agent,,,1002220,Esava,Ratugolea,GEE
400,284,free_agent,,,1002331,Jacob,Dawson,GCS
401,697,free_agent,,,997100,Will,Hayward,SYD
402,169,free_agent,,,240232,Ben,Reid,COL
403,474,free_agent,,,994385,Jayden,Hunt,MEL
404,44,free_agent,,,294168,Marcus,Adams,BRL
405,412,free_agent,,,1005247,Sam,Taylor,GWS
406,603,free_agent,,,994077,Mabior,Chol,RIC
407,745,free_agent,,,991976,Will,Hayes,WBD
408,191,free_agent,,,296334,Orazio,Fantasia,ESS
409,673,free_agent,,,1004985,Ben,Paton,STK
410,45,free_agent,,,298437,Callum,Ah Chee,BRL
411,781,free_agent,,,993820,Thomas,Cole,WCE
412,658,free_agent,,,297452,Nick,Hind,STK
413,725,free_agent,,,296211,Lewis,Taylor,SYD
414,107,free_agent,,,1001398,Matthew,Kennedy,CAR
415,651,free_agent,,,1005717,Nick,Coffield,STK
416,760,free_agent,,,993841,Josh,Schache,WBD
417,688,free_agent,,,996442,Ryan,Clarke,SYD
418,502,free_agent,,,993940,Corey,Wagner,MEL
419,590,free_agent,,,280972,Jack,Watts,PTA
420,407,free_agent,,,291792,Tommy,Sheridan,GWS
421,632,free_agent,,,1006133,Jack,Ross,RIC
422,238,free_agent,,,997033,Brennan,Cox,FRE
423,75,free_agent,,,297504,Daniel,McStay,BRL
424,344,free_agent,,,270326,Lachlan,Henderson,GEE
425,654,free_agent,,,260113,Jarryn,Geary,STK
426,195,free_agent,,,996232,Matt,Guelfi,ESS
427,327,free_agent,,,293883,Jed,Bews,GEE
428,388,free_agent,,,999309,Jackson,Hately,GWS
429,813,free_agent,,,996554,Jake,Waterman,WCE
430,770,free_agent,,,992351,Bailey,Williams,WBD
431,421,free_agent,,,260288,James,Frawley,HAW
432,310,free_agent,,,1007881,Wil,Powell,GCS
434,693,free_agent,,,291848,Robbie,Fox,SYD
435,259,free_agent,,,298409,Alex,Pearce,FRE
436,349,free_agent,,,296291,Jake,Kolodjashnij,GEE
437,316,free_agent,,,294643,Alex,Sexton,GCS
438,188,free_agent,,,297406,Tom,Cutler,ESS
439,29,free_agent,,,1000998,Lachlan,Murphy,ADE
440,686,free_agent,,,1006028,Nick,Blakey,SYD
441,100,free_agent,,,1002256,Paddy,Dow,CAR
442,600,free_agent,,,295203,Nathan,Broad,RIC
443,63,free_agent,,,993953,Eric,Hipwood,BRL
444,145,free_agent,,,998647,Mason,Cox,COL
445,222,free_agent,,,294654,James,Stewart,ESS
446,53,free_agent,,,240302,Grant,Birchall,BRL
447,236,free_agent,,,280988,Travis,Colyer,FRE
448,298,free_agent,,,291964,Jack,Hombsch,GCS
449,672,free_agent,,,1000267,Matthew,Parker,STK
450,771,free_agent,,,281139,Easton,Wood,WBD
451,644,free_agent,,,260310,Nathan,Brown,STK
452,183,free_agent,,,1005721,Josh,Begley,ESS
453,254,free_agent,,,995192,Cam,McCarthy,FRE
454,345,free_agent,,,1000937,Jack,Henry,GEE
455,811,free_agent,,,280959,Nathan,Vardy,WCE
456,492,free_agent,,,1008893,Harrison,Petty,MEL
457,541,free_agent,,,291784,Dom,Tyson,NTH
458,443,free_agent,,,1000963,Harry,Morrison,HAW
460,517,free_agent,,,297767,Sam,Durdin,NTH
461,375,free_agent,,,291797,Matt,Buntine,GWS
462,427,free_agent,,,1001043,Oliver,Hanrahan,HAW
463,708,free_agent,,,996743,Lewis,Melican,SYD
464,483,free_agent,,,298390,Jay,Lockhart,MEL
465,9,free_agent,,,999331,Darcy,Fogarty,ADE
466,665,free_agent,,,993917,Ben,Long,STK
467,357,free_agent,,,993798,James,Parsons,GEE
468,670,free_agent,,,298265,Daniel,McKenzie,STK
469,287,free_agent,,,991953,Corey,Ellis,GCS
470,780,free_agent,,,1005793,Jarrod,Cameron,WCE
471,16,free_agent,,,1005199,Elliott,Himmelberg,ADE
472,801,free_agent,,,1006550,Jack,Petruccelle,WCE
473,390,free_agent,,,1006148,Ian,Hill,GWS
474,733,free_agent,,,991939,Zaine,Cordy,WBD
475,182,free_agent,,,295599,Patrick,Ambrose,ESS
476,674,free_agent,,,1002213,Ed,Phillips,STK
477,804,free_agent,,,997823,Josh,Rotham,WCE
479,441,free_agent,,,1006314,Dylan,Moore,HAW
480,790,free_agent,,,281052,Mark,Hutchings,WCE
481,8,free_agent,,,1000932,Tom,Doedee,ADE
482,172,waiver,9806.0,2020-07-04 04:00:00,295012,Matthew,Scharenberg,COL
483,239,free_agent,,,1002353,Mitchell,Crowden,FRE
484,396,free_agent,,,290314,Lachlan,Keeffe,GWS
485,429,free_agent,,,294077,Michael,Hartley,HAW
486,798,free_agent,,,298298,Jackson,Nelson,WCE
487,17,free_agent,,,1006203,Chayce,Jones,ADE
488,189,free_agent,,,294518,Joe,Daniher,ESS
489,11,free_agent,,,998106,Jordan,Gallucci,ADE
490,705,free_agent,,,1008198,Tom,McCartin,SYD
491,444,free_agent,,,1007124,Conor,Nash,HAW
492,773,free_agent,,,997316,Lewis,Young,WBD
493,485,free_agent,,,992472,Oscar,McDonald,MEL
494,229,free_agent,,,998180,Bailey,Banfield,FRE
495,18,free_agent,,,993946,Ben,Keays,ADE
